scenario,method,depth,edge_count_mean,edge_count_std,D_p_mean,D_p_std,D_minus_mean,D_minus_std,D_plus_mean,D_plus_std,cumulative_instability_mean,cumulative_instability_std,T_obs_mean,T_obs_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std
order1_unconfounded,fast_gcstar_fcgc,4,11.7,1.888562063228706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
order1_unconfounded,fast_gcstar_fcgc,5,11.7,1.888562063228706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
order1_unconfounded,fast_gcstar_fcgc,6,11.7,1.888562063228706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
order1_unconfounded,fast_gcstar_fcgc,7,11.7,1.888562063228706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
order3_unconfounded,fast_gcstar_fcgc,1,35.7,37.747847620758456,,,,,,,0.0,0.0,0.025555555555555554,0.03188198402467755,0.5444444444444445,0.21379066206906386,0.1739734753550543,0.12201901781372815,0.35730861244019135,0.4492298042904623,0.409677733687264,0.41295805743638153,8.0,10.23067283548187,27.7,27.709003751287934,41.0,28.95206766747795,13.3,9.452219022242577
order3_unconfounded,fast_gcstar_fcgc,2,33.4,39.124303330680675,0.025555555555555554,0.03188198402467755,0.025555555555555554,0.03188198402467755,0.0,0.0,0.025555555555555554,0.03188198402467755,0.025555555555555554,0.03188198402467755,0.5700000000000001,0.2246808436014995,0.20244949494949496,0.1472657014492513,0.35730861244019135,0.4492298042904623,0.37570977744099354,0.4322114269504191,8.0,10.23067283548187,25.4,29.025659146501546,43.3,30.13322271366126,13.3,9.452219022242577
order3_unconfounded,fast_gcstar_fcgc,3,33.4,39.124303330680675,0.0,0.0,0.0,0.0,0.0,0.0,0.025555555555555554,0.03188198402467755,0.025555555555555554,0.03188198402467755,0.5700000000000001,0.2246808436014995,0.20244949494949496,0.1472657014492513,0.35730861244019135,0.4492298042904623,0.37570977744099354,0.4322114269504191,8.0,10.23067283548187,25.4,29.025659146501546,43.3,30.13322271366126,13.3,9.452219022242577
order3_unconfounded,fast_gcstar_fcgc,4,33.4,39.124303330680675,0.0,0.0,0.0,0.0,0.0,0.0,0.025555555555555554,0.03188198402467755,0.025555555555555554,0.03188198402467755,0.5700000000000001,0.2246808436014995,0.20244949494949496,0.1472657014492513,0.35730861244019135,0.4492298042904623,0.37570977744099354,0.4322114269504191,8.0,10.23067283548187,25.4,29.025659146501546,43.3,30.13322271366126,13.3,9.452219022242577
order3_unconfounded,fast_gcstar_fcgc,5,33.4,39.124303330680675,0.0,0.0,0.0,0.0,0.0,0.0,0.025555555555555554,0.03188198402467755,0.025555555555555554,0.03188198402467755,0.5700000000000001,0.2246808436014995,0.20244949494949496,0.1472657014492513,0.35730861244019135,0.4492298042904623,0.37570977744099354,0.4322114269504191,8.0,10.23067283548187,25.4,29.025659146501546,43.3,30.13322271366126,13.3,9.452219022242577
order3_unconfounded,fast_gcstar_fcgc,6,33.5,39.04769163756319,0.0011111111111111111,0.0035136418446315328,0.0,0.0,0.0011111111111111111,0.0035136418446315328,0.026666666666666665,0.03151414427582614,0.025555555555555554,0.03188198402467755,0.5688888888888889,0.22368653355739715,0.19768759018759016,0.14327920306228184,0.35730861244019135,0.4492298042904623,0.37713834886956493,0.431063570942014,8.0,10.23067283548187,25.5,28.945350806879734,43.2,30.051067646036582,13.3,9.452219022242577
order3_unconfounded,fast_gcstar_fcgc,7,33.4,39.124303330680675,0.0011111111111111111,0.0035136418446315328,0.0011111111111111111,0.0035136418446315328,0.0,0.0,0.02777777777777778,0.03153590067764148,0.025555555555555554,0.03188198402467755,0.5700000000000001,0.2246808436014995,0.20244949494949496,0.1472657014492513,0.35730861244019135,0.4492298042904623,0.37570977744099354,0.4322114269504191,8.0,10.23067283548187,25.4,29.025659146501546,43.3,30.13322271366126,13.3,9.452219022242577
variable_lag_unconfounded,fast_gcstar_fcgc,1,18.0,25.974346318370873,,,,,,,0.0,0.0,0.02222222222222222,0.03394500514782104,0.6755555555555556,0.17003186984412252,0.16438492063492063,0.10723048420422421,0.18999814040448715,0.29561995658849594,0.20211474729625994,0.2881685762624582,3.6,5.621387729022079,14.4,20.4407001402159,57.2,20.804913949460218,14.8,5.593647190240809
