scenario,method,repeat,depth,edge_count,D_p,D_minus,D_plus,cumulative_instability,T_obs,selected_absolute,selected_relative,selected_bootstrap_band,accuracy,precision,recall,fpr,balanced_accuracy,f1,tp,fp,tn,fn
order1_unconfounded,fast_gcstar_cgc,6,7,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,7,1,12,,,,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,7,2,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,7,3,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,7,4,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,7,5,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,7,6,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,7,7,12,0.0,0.0,0.0,0.0,0.0,2,2,,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.1282051282051282,0.5192307692307693,0.16666666666666666,2.0,10.0,68.0,10.0
order1_unconfounded,fast_gcstar_cgc,8,1,14,,,,0.0,0.0,2,2,,0.6888888888888889,0.0,0.0,0.18421052631578946,0.40789473684210525,0.0,0.0,14.0,62.0,14.0
order1_unconfounded,fast_gcstar_cgc,8,2,14,0.0,0.0,0.0,0.0,0.0,2,2,,0.6888888888888889,0.0,0.0,0.18421052631578946,0.40789473684210525,0.0,0.0,14.0,62.0,14.0
order1_unconfounded,fast_gcstar_cgc,8,3,14,0.0,0.0,0.0,0.0,0.0,2,2,,0.6888888888888889,0.0,0.0,0.18421052631578946,0.40789473684210525,0.0,0.0,14.0,62.0,14.0
order1_unconfounded,fast_gcstar_cgc,8,4,14,0.0,0.0,0.0,0.0,0.0,2,2,,0.6888888888888889,0.0,0.0,0.18421052631578946,0.40789473684210525,0.0,0.0,14.0,62.0,14.0
order1_unconfounded,fast_gcstar_cgc,8,5,14,0.0,0.0,0.0,0.0,0.0,2,2,,0.6888888888888889,0.0,0.0,0.18421052631578946,0.40789473684210525,0.0,0.0,14.0,62.0,14.0
order1_unconfounded,fast_gcstar_cgc,8,6,14,0.0,0.0,0.0,0.0,0.0,2,2,,0.6888888888888889,0.0,0.0,0.18421052631578946,0.40789473684210525,0.0,0.0,14.0,62.0,14.0
order1_unconfounded,fast_gcstar_cgc,8,7,14,0.0,0.0,0.0,0.0,0.0,2,2,,0.6888888888888889,0.0,0.0,0.18421052631578946,0.40789473684210525,0.0,0.0,14.0,62.0,14.0
order1_unconfounded,fast_gcstar_cgc,9,1,13,,,,0.0,0.0,2,2,,0.7111111111111111,0.0,0.0,0.16883116883116883,0.4155844155844156,0.0,0.0,13.0,64.0,13.0
order1_unconfounded,fast_gcstar_cgc,9,2,13,0.0,0.0,0.0,0.0,0.0,2,2,,0.7111111111111111,0.0,0.0,0.16883116883116883,0.4155844155844156,0.0,0.0,13.0,64.0,13.0
order1_unconfounded,fast_gcstar_cgc,9,3,13,0.0,0.0,0.0,0.0,0.0,2,2,,0.7111111111111111,0.0,0.0,0.16883116883116883,0.4155844155844156,0.0,0.0,13.0,64.0,13.0
order1_unconfounded,fast_gcstar_cgc,9,4,13,0.0,0.0,0.0,0.0,0.0,2,2,,0.7111111111111111,0.0,0.0,0.16883116883116883,0.4155844155844156,0.0,0.0,13.0,64.0,13.0
order1_unconfounded,fast_gcstar_cgc,9,5,13,0.0,0.0,0.0,0.0,0.0,2,2,,0.7111111111111111,0.0,0.0,0.16883116883116883,0.4155844155844156,0.0,0.0,13.0,64.0,13.0
order1_unconfounded,fast_gcstar_cgc,9,6,13,0.0,0.0,0.0,0.0,0.0,2,2,,0.7111111111111111,0.0,0.0,0.16883116883116883,0.4155844155844156,0.0,0.0,13.0,64.0,13.0
order1_unconfounded,fast_gcstar_cgc,9,7,13,0.0,0.0,0.0,0.0,0.0,2,2,,0.7111111111111111,0.0,0.0,0.16883116883116883,0.4155844155844156,0.0,0.0,13.0,64.0,13.0
order3_unconfounded,fast_gcstar_cgc,0,1,14,,,,0.0,0.03333333333333333,2,3,,0.7333333333333333,0.35714285714285715,0.25,0.12857142857142856,0.5607142857142857,0.2941176470588235,5.0,9.0,61.0,15.0
order3_unconfounded,fast_gcstar_cgc,0,2,11,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,2,3,,0.7666666666666667,0.45454545454545453,0.25,0.08571428571428572,0.5821428571428571,0.3225806451612903,5.0,6.0,64.0,15.0
order3_unconfounded,fast_gcstar_cgc,0,3,11,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,2,3,,0.7666666666666667,0.45454545454545453,0.25,0.08571428571428572,0.5821428571428571,0.3225806451612903,5.0,6.0,64.0,15.0
order3_unconfounded,fast_gcstar_cgc,0,4,11,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,2,3,,0.7666666666666667,0.45454545454545453,0.25,0.08571428571428572,0.5821428571428571,0.3225806451612903,5.0,6.0,64.0,15.0
order3_unconfounded,fast_gcstar_cgc,0,5,11,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,2,3,,0.7666666666666667,0.45454545454545453,0.25,0.08571428571428572,0.5821428571428571,0.3225806451612903,5.0,6.0,64.0,15.0
order3_unconfounded,fast_gcstar_cgc,0,6,11,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,2,3,,0.7666666666666667,0.45454545454545453,0.25,0.08571428571428572,0.5821428571428571,0.3225806451612903,5.0,6.0,64.0,15.0
order3_unconfounded,fast_gcstar_cgc,0,7,11,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,2,3,,0.7666666666666667,0.45454545454545453,0.25,0.08571428571428572,0.5821428571428571,0.3225806451612903,5.0,6.0,64.0,15.0
order3_unconfounded,fast_gcstar_cgc,1,1,5,,,,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.0684931506849315,0.4657534246575342,0.0,0.0,5.0,68.0,17.0
order3_unconfounded,fast_gcstar_cgc,1,2,5,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.0684931506849315,0.4657534246575342,0.0,0.0,5.0,68.0,17.0
order3_unconfounded,fast_gcstar_cgc,1,3,5,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.0684931506849315,0.4657534246575342,0.0,0.0,5.0,68.0,17.0
order3_unconfounded,fast_gcstar_cgc,1,4,5,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.0684931506849315,0.4657534246575342,0.0,0.0,5.0,68.0,17.0
order3_unconfounded,fast_gcstar_cgc,1,5,5,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.0684931506849315,0.4657534246575342,0.0,0.0,5.0,68.0,17.0
order3_unconfounded,fast_gcstar_cgc,1,6,5,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.0684931506849315,0.4657534246575342,0.0,0.0,5.0,68.0,17.0
order3_unconfounded,fast_gcstar_cgc,1,7,5,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.0684931506849315,0.4657534246575342,0.0,0.0,5.0,68.0,17.0
order3_unconfounded,fast_gcstar_cgc,2,1,8,,,,0.0,0.0,2,2,,0.7222222222222222,0.125,0.05263157894736842,0.09859154929577464,0.4770200148257969,0.07407407407407407,1.0,7.0,64.0,18.0
order3_unconfounded,fast_gcstar_cgc,2,2,8,0.0,0.0,0.0,0.0,0.0,2,2,,0.7222222222222222,0.125,0.05263157894736842,0.09859154929577464,0.4770200148257969,0.07407407407407407,1.0,7.0,64.0,18.0
order3_unconfounded,fast_gcstar_cgc,2,3,8,0.0,0.0,0.0,0.0,0.0,2,2,,0.7222222222222222,0.125,0.05263157894736842,0.09859154929577464,0.4770200148257969,0.07407407407407407,1.0,7.0,64.0,18.0
order3_unconfounded,fast_gcstar_cgc,2,4,8,0.0,0.0,0.0,0.0,0.0,2,2,,0.7222222222222222,0.125,0.05263157894736842,0.09859154929577464,0.4770200148257969,0.07407407407407407,1.0,7.0,64.0,18.0
order3_unconfounded,fast_gcstar_cgc,2,5,8,0.0,0.0,0.0,0.0,0.0,2,2,,0.7222222222222222,0.125,0.05263157894736842,0.09859154929577464,0.4770200148257969,0.07407407407407407,1.0,7.0,64.0,18.0
