scenario,method,depth,edge_count_mean,edge_count_std,D_p_mean,D_p_std,D_minus_mean,D_minus_std,D_plus_mean,D_plus_std,cumulative_instability_mean,cumulative_instability_std,T_obs_mean,T_obs_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std
order3_unconfounded,fast_gcstar_cgc,1,35.6,37.81005157362259,,,,,,,0.0,0.0,0.024444444444444442,0.03133954933526841,0.5455555555555556,0.21484354852528278,0.17635442773600668,0.12565231355756035,0.35730861244019135,0.4492298042904623,0.4082491622586926,0.4140070227177238,8.0,10.23067283548187,27.6,27.781688613585427,41.1,29.026616138372802,13.3,9.452219022242577
order3_unconfounded,fast_gcstar_cgc,2,33.5,39.04769163756319,0.023333333333333334,0.03205362447913897,0.023333333333333334,0.03205362447913897,0.0,0.0,0.023333333333333334,0.03205362447913897,0.024444444444444442,0.03133954933526841,0.5688888888888889,0.22368653355739715,0.19768759018759016,0.14327920306228184,0.35730861244019135,0.4492298042904623,0.37713834886956493,0.431063570942014,8.0,10.23067283548187,25.5,28.945350806879734,43.2,30.051067646036582,13.3,9.452219022242577
order3_unconfounded,fast_gcstar_cgc,3,33.5,39.04769163756319,0.0,0.0,0.0,0.0,0.0,0.0,0.023333333333333334,0.03205362447913897,0.024444444444444442,0.03133954933526841,0.5688888888888889,0.22368653355739715,0.19768759018759016,0.14327920306228184,0.35730861244019135,0.4492298042904623,0.37713834886956493,0.431063570942014,8.0,10.23067283548187,25.5,28.945350806879734,43.2,30.051067646036582,13.3,9.452219022242577
order3_unconfounded,fast_gcstar_cgc,4,33.4,39.124303330680675,0.0011111111111111111,0.0035136418446315328,0.0011111111111111111,0.0035136418446315328,0.0,0.0,0.024444444444444442,0.03133954933526841,0.024444444444444442,0.03133954933526841,0.5700000000000001,0.2246808436014995,0.20244949494949496,0.1472657014492513,0.35730861244019135,0.4492298042904623,0.37570977744099354,0.4322114269504191,8.0,10.23067283548187,25.4,29.025659146501546,43.3,30.13322271366126,13.3,9.452219022242577
order3_unconfounded,fast_gcstar_cgc,5,33.4,39.124303330680675,0.0,0.0,0.0,0.0,0.0,0.0,0.024444444444444442,0.03133954933526841,0.024444444444444442,0.03133954933526841,0.5700000000000001,0.2246808436014995,0.20244949494949496,0.1472657014492513,0.35730861244019135,0.4492298042904623,0.37570977744099354,0.4322114269504191,8.0,10.23067283548187,25.4,29.025659146501546,43.3,30.13322271366126,13.3,9.452219022242577
order3_unconfounded,fast_gcstar_cgc,6,33.5,39.04769163756319,0.0011111111111111111,0.0035136418446315328,0.0,0.0,0.0011111111111111111,0.0035136418446315328,0.025555555555555554,0.031009534353977002,0.024444444444444442,0.03133954933526841,0.5688888888888889,0.22368653355739715,0.19768759018759016,0.14327920306228184,0.35730861244019135,0.4492298042904623,0.37713834886956493,0.431063570942014,8.0,10.23067283548187,25.5,28.945350806879734,43.2,30.051067646036582,13.3,9.452219022242577
order3_unconfounded,fast_gcstar_cgc,7,33.4,39.124303330680675,0.0011111111111111111,0.0035136418446315328,0.0011111111111111111,0.0035136418446315328,0.0,0.0,0.026666666666666665,0.031075817723560047,0.024444444444444442,0.03133954933526841,0.5700000000000001,0.2246808436014995,0.20244949494949496,0.1472657014492513,0.35730861244019135,0.4492298042904623,0.37570977744099354,0.4322114269504191,8.0,10.23067283548187,25.4,29.025659146501546,43.3,30.13322271366126,13.3,9.452219022242577
variable_lag_unconfounded,fast_gcstar_cgc,1,18.2,25.930676813380714,,,,,,,0.0,0.0,0.024444444444444442,0.03696288874036933,0.6733333333333333,0.16917454724290606,0.16081349206349205,0.10462525032808682,0.18999814040448715,0.29561995658849594,0.2048544733236572,0.2874652466242307,3.6,5.621387729022079,14.6,20.391719452322363,57.0,20.741798914805397,14.8,5.593647190240809
variable_lag_unconfounded,fast_gcstar_cgc,2,16.1,26.43419502588771,0.023333333333333334,0.037570236008639284,0.023333333333333334,0.037570236008639284,0.0,0.0,0.023333333333333334,0.037570236008639284,0.024444444444444442,0.03696288874036933,0.6944444444444444,0.17318528023315835,0.18837301587301586,0.11791406976762506,0.18411578746331067,0.2965029683526619,0.17690132660934313,0.2938072523221267,3.5,5.6421036266035856,12.6,20.84439706225366,59.0,21.186998109427606,14.9,5.586690532964138
variable_lag_unconfounded,fast_gcstar_cgc,3,16.0,26.47010892812243,0.0011111111111111111,0.0035136418446315328,0.0011111111111111111,0.0035136418446315328,0.0,0.0,0.024444444444444446,0.03947529657621993,0.024444444444444442,0.03696288874036933,0.6955555555555556,0.1735769102115065,0.19015873015873014,0.11697920918927464,0.18411578746331067,0.2965029683526619,0.17553146359564448,0.2942585178632473,3.5,5.6421036266035856,12.5,20.876621693495654,59.1,21.226032235075035,14.9,5.586690532964138
